MODO,METAL,NOMBRE_COMUN,ESPECIE,FAMILIA,ORDEN,GRUPO,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Grasa,Ala,peso,tarso,pico,cola,Hora,Dias,Kms,Observaciones,FECHA
C,1006016,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,15,12,2002,El Puerto de Santa Maria,El Puerto de Santa Maria,Cadiz,A,0.0,EBD,,,,,,,,1583.0,142.0,muerto,12/15/2002
A,9001910,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,17,6,1987,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0.0,EBD,,,,,,,,,,anillamiento,06/17/1987
C,9001910,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,15,7,1987,Las Nuevas PND,Doñana,Huelva,3,0.0,Particular,,,,,,,,,,control,07/15/1987
A,9002447,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,17,6,1987,Laguna de Fuente de Piedra,Funtedepiedra,Malaga,1,0.0,EBD,,,,,,,,,,anillamiento,06/17/1987
C,9002447,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,1,12,2000,Bonanza,Sanlucar de Barrameda,Cadiz,A,0.0,M.Vazquez,,,,,,,,4916.0,147.0,control,12/01/2000
A,9002767,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,25,6,1986,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0.0,EBD,,,,,,,,,,anillamiento,06/25/1986
C,9002767,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,15,12,1989,Isla Mayor,Isla Mayor,Sevilla,9,0.0,M. Vazquez,,,,,,,,,,control,12/15/1989
A,9006385,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,21,8,1988,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0.0,EBD,,,,,,,,,,anillamiento,08/21/1988
C,9006385,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,15,11,1988,Puebla del Rio,Puebla del Rio,Sevilla,3,0.0,M. Vazquez,,,,,,,,84.0,118.0,muerto,11/15/1988
A,9006672,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,23,8,1988,Laguna de Fuente de Piedra,Funtedepiedra,Malaga,1,0.0,EBD,,,,,,,,,,anillamiento,08/23/1988
C,9006672,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,1,3,1991,Puerto Real,Puerto Real,Cadiz,9,0.0,M.Vazquez,,,,,,,,,142.0,muerto,03/01/1991
A,9006894,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,23,8,1988,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0.0,EBD,,,,,,,,,,anillamiento,08/23/1988
C,9006894,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,3,2,1989,Casudi,Puebla del Rio,Sevilla,3,0.0,M. Vazquez,,,,,,,,,,control,02/03/1989
A,9007111,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,21,8,1988,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0.0,EBD,,,,,,,,,,anillamiento,08/21/1988
C,9007111,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,27,9,1988,Dos Hermanas,Dos Hermanas,Sevilla,3,0.0,M. Vazquez,,,,,,,,,,control,09/27/1988
A,9010216,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,18,8,1990,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0.0,EBD,,,,,,,,,,anillamiento,08/18/1990
C,9010216,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,15,1,1991,Puebla del Rio,Puebla del Rio,Sevilla,3,0.0,M. Vazquez,,,,,,,,,,muerto,01/15/1991
A,9011751,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,20,7,1991,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0.0,EBD,,,,,,,,,,anillamiento,07/20/1991
C,9011751,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,4,8,1991,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,0.0,M. Vazquez,,,,,,,,,,muerto,08/04/1991
A,G02003,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,28,9,1984,Lucio del Buen Tiro PND,Aznalcazar,Sevilla,1,0.0,EBD,,,,,,,,,,anillamiento,09/28/1984
C,G02003,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,16,12,2000,Marismas del Odiel,Huelva,Huelva,A,0.0,Particular,,,,,,,,5923.0,57.0,muerto,12/16/2000
A,C04646,Eurasian Spoonbill,Platalea leucorodia,Threskiornithidae (Ibises and Spoonbills),Pelecaniformes,"Herons, Ibis, and Allies",23,5,1970,Martinazo PND,Almonte,Huelva,1,0.0,PV. Belman,,,,,,,,,,anillamiento,05/23/1970
C,C04646,Eurasian Spoonbill,Platalea leucorodia,Threskiornithidae (Ibises and Spoonbills),Pelecaniformes,"Herons, Ibis, and Allies",1,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0.0,Particular,,,,,,,,,,muerto,12/01/1989
A,F01078,Eurasian Spoonbill,Platalea leucorodia,Threskiornithidae (Ibises and Spoonbills),Pelecaniformes,"Herons, Ibis, and Allies",13,6,1966,Martinazo PND,Almonte,Huelva,1,0.0,EBD,,,,,,,,,,anillamiento,06/13/1966
C,F01078,Eurasian Spoonbill,Platalea leucorodia,Threskiornithidae (Ibises and Spoonbills),Pelecaniformes,"Herons, Ibis, and Allies",1,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0.0,Particular,,,,,,,,,,muerto,12/01/1989
A,F01465,Eurasian Spoonbill,Platalea leucorodia,Threskiornithidae (Ibises and Spoonbills),Pelecaniformes,"Herons, Ibis, and Allies",11,6,1968,Martinazo PND,Almonte,Huelva,1,0.0,E. Mackrill,,,,,,,,,,anillamiento,06/11/1968
C,F01465,Eurasian Spoonbill,Platalea leucorodia,Threskiornithidae (Ibises and Spoonbills),Pelecaniformes,"Herons, Ibis, and Allies",1,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0.0,Particular,,,,,,,,,,muerto,12/01/1989
A,F01764,Eurasian Spoonbill,Platalea leucorodia,Threskiornithidae (Ibises and Spoonbills),Pelecaniformes,"Herons, Ibis, and Allies",17,6,1969,La Aulaga PND,Almonte,Huelva,,,EBD,,,,,,,,,,anillamiento,06/17/1969
C,F01764,Eurasian Spoonbill,Platalea leucorodia,Threskiornithidae (Ibises and Spoonbills),Pelecaniformes,"Herons, Ibis, and Allies",1,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0.0,Particular,,,,,,,,,,muerto,12/01/1989
A,G04345,Eurasian Spoonbill,Platalea leucorodia,Threskiornithidae (Ibises and Spoonbills),Pelecaniformes,"Herons, Ibis, and Allies",8,4,1983,Marismas del Odiel,Huelva,Huelva,1,0.0,L. Garcia,,,,,,,,,,anillamiento,04/08/1983
