MODO,METAL,ESPECIE,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple
C,2374154,Carduelis chloris,15,8,1996,Coria del Rio,Coria del Rio,Sevilla,2,0,Particular,NA,6,Encontrada sin volar no liberada,1996-08-15,control
A,2898026,Carduelis chloris,23,5,2000,La Escribana,Coria del Rio,Sevilla,3,2,M. Vazquez,NA,NA,Anillamiento,2000-05-23,anillamiento
C,2898026,Carduelis chloris,15,10,2000,Coria del Rio,Coria del Rio,Sevilla,2,0,Particular,136,6,Cazada,2000-10-15,muerto
A,2672182,Carduelis chloris,15,12,1994,Sanlucar de Barrameda,Sanlucar de Barrameda,Cadiz,2,1,FAC,NA,NA,Anillamiento suelta silvestrista,1994-12-15,control
C,2672182,Carduelis chloris,26,2,1997,La Escribana,Coria del Rio,Sevilla,6,1,M. Vazquez,NA,NA,control,1997-02-26,control
A,2674603,Carduelis chloris,15,12,1994,Huelva,Huelva,Huelva,2,1,FAC,NA,NA,Anillamiento suelta silvestrista,1994-12-15,control
C,2674603,Carduelis chloris,10,3,1997,La Escribana,Coria del Rio,Sevilla,6,1,M. Vazquez,NA,NA,control,1997-03-10,control
A,2779769,Carduelis chloris,15,12,1996,Coria del Rio,Coria del Rio,Sevilla,2,0,FAC,NA,NA,Anillamiento suelta silvestrista,1996-12-15,control
C,2779769,Carduelis chloris,17,4,1997,La Estrella,Palomares del Rio,Sevilla,4,0,M. Vazquez,NA,NA,control,1997-04-17,control
A,2779555,Carduelis chloris,20,3,1998,La Escribana,Coria del Rio,Sevilla,6,1,M. Vazquez,NA,NA,Anillamiento,1998-03-20,anillamiento
C,2779555,Carduelis chloris,15,7,1998,Huerta El Rincon,Coria del Rio,Sevilla,6,1,J Camacho,NA,4,control,1998-07-15,control
A,176909,Carduelis cannabina,24,1,1988,El Monte,Los Palacios,Sevilla,2,2,J Ayala,NA,NA,Anillamiento,1988-01-24,anillamiento
C,176909,Carduelis cannabina,25,10,1988,Los Olmasos,Puebla del Rio,Sevilla,2,0,M. Vazquez,306,20,Cazada,1988-10-25,muerto
A,176893,Carduelis cannabina,24,1,1988,El Monte,Los Palacios,Sevilla,2,2,J Ayala,NA,NA,Anillamiento,1988-01-24,anillamiento
C,176893,Carduelis cannabina,25,10,1988,Los Olmasos,Puebla del Rio,Sevilla,2,0,M. Vazquez,306,20,Cazada,1988-10-25,muerto
A,176894,Carduelis cannabina,24,1,1988,El Monte,Los Palacios,Sevilla,2,2,J Ayala,NA,NA,Anillamiento,1988-01-24,anillamiento
C,176894,Carduelis cannabina,25,10,1988,Los Olmasos,Puebla del Rio,Sevilla,2,0,M. Vazquez,306,20,Cazada,1988-10-25,muerto
A,403658,Carduelis cannabina,24,11,1991,Cantera del Duende,El Rubio,Sevilla,2,1,M. Vazquez,NA,NA,Anillamiento,1991-11-24,anillamiento
C,403658,Carduelis cannabina,17,1,1994,Carretera Osuna- El Rubio,El Rubio,Sevilla,2,0,E Gomez,NA,1,Atropellado,1994-01-17,muerto
A,207200,Carduelis cannabina,23,7,1989,Los Palacios,Los Palacios,Sevilla,4,0,GOSUR,NA,NA,Anillamiento,1989-07-23,anillamiento
