Anilla,NombreComun,NombreEspecie,Familia,Orden,Grupo,E,S,G,Ala,Peso,Dia,Mes,Año,Hora.C,Hora.F,Lugar,Municipio,Provincia,Anillador,Observaciones,FECHA,Observaciones simple
T027808,Kentish Plover,Charadrius alexandrinus,Charadriidae (Plovers and Lapwings),Charadriiformes,Shorebirds,4,0,,,,1,10,2000,,,Laguna del Gobierno,La Lantejuela,Sevilla,Manuel Vazquez,Encontrado muerto,2000-10-01,muerto
4003661,European Roller,Coracias garrulus,Coraciidae (Rollers),Coraciiformes,"Bee-eaters, Rollers, and Allies",1,0,,,,13,7,1991,,,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto,1991-07-13,muerto
7045436,Long-eared Owl,Asio otus,Strigidae (Owls),Strigiformes,Owls,1,0,,,,25,7,2000,,,Pino Dorado,Puebla del Rio,Sevilla,Alfonso Romero,Encontrado muerto,2000-07-25,muerto
3090235,Eurasian Hoopoe,Upupa epops,Upupidae (Hoopoes),Bucerotiformes,Hoopoes,3,0,,,,5,9,1994,,,Manecorro,Almonte,Huelva,JL Arroyo,,1994-09-05,control
T007755,Curlew Sandpiper,Calidris ferruginea,Scolopacidae (Sandpipers and Allies),Charadriiformes,Shorebirds,4,0,,,,6,5,1998,,,Marismas del Odiel,Huelva,Huelva,JL Arroyo,,1998-05-06,control
4048368,Common Redshank,Tringa totanus,Scolopacidae (Sandpipers and Allies),Charadriiformes,Shorebirds,4,0,,,,24,9,1998,,,Marismas del Odiel,Huelva,Huelva,JL Arroyo,,1998-09-24,control
9015558,White Stork,Ciconia ciconia,Ciconiidae (Storks),Ciconiiformes,Storks,2,0,,,,12,6,1994,,,Dehesa de Abajo,Puebla del Rio,Sevilla,Manuel Vazquez,Encontrado solo anilla,1994-06-12,control
9004110,White Stork,Ciconia ciconia,Ciconiidae (Storks),Ciconiiformes,Storks,4,0,,,,12,6,1994,,,Dehesa de Abajo,Puebla del Rio,Sevilla,Manuel Vazquez,Encontrado solo anilla,1994-06-12,control
3037708,Azure-winged Magpie,Cyanopica cyanus,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,"Jays, Magpies, Crows, and Ravens",4,0,,,,3,3,1991,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-03-03,control
3037708,Azure-winged Magpie,Cyanopica cyanus,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,"Jays, Magpies, Crows, and Ravens",4,0,2.0,127.0,67.0,18,3,1991,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-03-18,control
3037708,Azure-winged Magpie,Cyanopica cyanus,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,"Jays, Magpies, Crows, and Ravens",4,0,1.0,,,7,4,1991,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-04-07,control
